Level monster temp1 temp2
E chimera:468 52.0 114.8
W elemental:602 64.69 76.4
I chimera:34 -56.27 -9.0
E elemental:776 56.6 117.5
W elemental:270 71.10 44.6
E fairy:493 20.12 87.4
I chimera:204 11.52 83.6
W dragon:643 10.74 94.4
E basilisk:234 -58.38 7.6
W elemental:73 -11.49 108.2
E elemental:375 6.34 29.0
W basilisk:261 -30.20 -5.3
E dragon:644 89.71 10.9
I chimera:624 47.85 80.6
E fairy:565 -79.75 -18.1
W chimera:262 83.51 24.6
E elemental:362 10.8 103.0
E dragon:333 -14.40 52.8
I chimera:27 94.73 36.5
