Level Date Low_Temp High_Temp
I [2024-08-05 16:12:48] fairy:279 87.39
W [2024-08-05 16:14:35] fairy:778 28.85
E [2024-08-05 16:15:23] dragon:45 -38.56
W [2024-08-05 16:16:31] elemental:635 -84.95
W [2024-08-05 16:18:42] elemental:448 63.79
E [2024-08-05 16:20:10] dragon:848 -71.29
E [2024-08-05 16:22:46] fairy:332 -28.2
E [2024-08-05 16:24:47] elemental:937 8.68
W [2024-08-05 16:26:12] dragon:182 -20.16
E [2024-08-05 16:26:50] chimera:858 -65.78
W [2024-08-05 16:30:03] elemental:394 62.65
I [2024-08-05 16:30:18] basilisk:254 -49.93
W [2024-08-05 16:30:53] basilisk:90 -65.74
I [2024-08-05 16:37:22] dragon:258 -19.57
W [2024-08-05 16:38:35] dragon:315 98.28
W [2024-08-05 16:40:44] fairy:601 68.75
W [2024-08-05 16:41:07] basilisk:448 30.45
I [2024-08-05 16:41:19] chimera:734 56.1
W [2024-08-05 16:44:32] basilisk:165 49.26
W [2024-08-05 16:44:39] elemental:737 61.51
W [2024-08-05 16:46:07] fairy:609 -44.80
E [2024-08-05 16:48:06] chimera:782 -75.32
E [2024-08-05 16:48:45] elemental:822 -38.88
E [2024-08-05 16:50:17] chimera:657 -10.56
E [2024-08-05 16:50:33] basilisk:684 -61.51
I [2024-08-05 16:54:03] chimera:210 -74.57
W [2024-08-05 16:55:00] chimera:640 40.94
W [2024-08-05 16:55:15] fairy:87 32.2
I [2024-08-05 16:56:29] elemental:859 -3.0
W [2024-08-05 16:58:08] fairy:438 34.84
E [2024-08-05 16:58:21] fairy:164 -26.65
W [2024-08-05 16:58:38] fairy:66 -96.36
W [2024-08-05 17:00:31] fairy:827 9.25
E [2024-08-05 17:00:59] fairy:466 38.36
W [2024-08-05 17:02:13] basilisk:367 77.95
W [2024-08-05 17:02:37] fairy:657 -8.45
W [2024-08-05 17:03:36] elemental:505 -44.36
I [2024-08-05 17:04:31] basilisk:918 -31.69
E [2024-08-05 17:04:50] chimera:201 -84.62
W [2024-08-05 17:07:27] fairy:512 6.1
E [2024-08-05 17:07:30] chimera:353 -19.1
W [2024-08-05 17:07:33] fairy:287 36.39
I [2024-08-05 17:09:25] basilisk:845 47.13
E [2024-08-05 17:10:10] basilisk:963 -55.33
W [2024-08-05 17:11:19] dragon:646 40.99
W [2024-08-05 17:12:36] elemental:137 -26.6
W [2024-08-05 17:13:34] basilisk:824 -33.41
I [2024-08-05 17:14:23] basilisk:140 -72.98
E [2024-08-05 17:15:01] basilisk:219 76.61
E [2024-08-05 17:15:32] basilisk:341 24.74
W [2024-08-05 17:16:20] fairy:293 45.83
I [2024-08-05 17:17:28] basilisk:18 -3.61
E [2024-08-05 17:20:23] fairy:334 -58.20
E [2024-08-05 17:23:14] dragon:699 -5.62
E [2024-08-05 17:23:24] dragon:202 -40.36
E [2024-08-05 17:27:10] chimera:9 10.77
I [2024-08-05 17:27:48] basilisk:924 12.5
W [2024-08-05 17:27:58] chimera:74 -31.85
W [2024-08-05 17:31:19] basilisk:573 -63.5
E [2024-08-05 17:32:26] elemental:479 44.38
E [2024-08-05 17:33:52] chimera:346 100.16
I [2024-08-05 17:35:01] elemental:58 75.73
E [2024-08-05 17:36:21] dragon:669 -100.58
W [2024-08-05 17:42:38] dragon:5 -53.51
E [2024-08-05 17:43:46] elemental:576 -93.96
E [2024-08-05 17:44:20] fairy:474 9.19
I [2024-08-05 17:44:35] basilisk:963 -99.32
I [2024-08-05 17:45:32] basilisk:474 67.78
E [2024-08-05 17:46:26] elemental:758 -95.42
I [2024-08-05 17:46:52] chimera:473 34.42
I [2024-08-05 17:49:13] elemental:607 88.82
I [2024-08-05 17:49:23] basilisk:794 -69.65
I [2024-08-05 17:50:38] dragon:339 20.89
W [2024-08-05 17:50:52] chimera:791 35.55
W [2024-08-05 17:52:57] fairy:678 -6.46
I [2024-08-05 17:53:35] dragon:582 -5.47
I [2024-08-05 17:57:40] chimera:942 73.60
W [2024-08-05 17:58:02] dragon:212 60.25
I [2024-08-05 17:58:19] basilisk:553 6.11
I [2024-08-05 17:59:51] basilisk:107 -50.62
E [2024-08-05 18:01:01] basilisk:346 20.97
I [2024-08-05 18:03:23] dragon:498 -96.67
I [2024-08-05 18:03:36] elemental:201 10.5
W [2024-08-05 18:06:08] fairy:919 -24.77
W [2024-08-05 18:06:24] fairy:698 -55.64
W [2024-08-05 18:07:29] chimera:197 44.99
E [2024-08-05 18:08:46] dragon:234 1.14
I [2024-08-05 18:09:02] dragon:688 20.30
I [2024-08-05 18:10:19] chimera:393 77.31
E [2024-08-05 18:10:26] dragon:898 97.82
I [2024-08-05 18:11:04] elemental:183 -11.60
E [2024-08-05 18:11:39] fairy:953 18.69
W [2024-08-05 18:13:03] fairy:768 -73.2
E [2024-08-05 18:13:06] chimera:763 -81.46
W [2024-08-05 18:13:21] elemental:250 -100.59
I [2024-08-05 18:14:42] basilisk:245 39.41
E [2024-08-05 18:14:47] elemental:89 36.63
I [2024-08-05 18:15:22] basilisk:597 72.22
I [2024-08-05 18:18:01] fairy:396 94.25
W [2024-08-05 18:18:10] chimera:125 31.74
W [2024-08-05 18:21:28] dragon:24 -35.67
I [2024-08-05 18:22:50] fairy:580 25.11
W [2024-08-05 18:23:13] chimera:889 61.32
I [2024-08-05 18:23:35] chimera:569 -69.48
W [2024-08-05 18:26:51] elemental:378 -62.11
E [2024-08-05 18:26:55] chimera:795 38.77
E [2024-08-05 18:33:28] basilisk:145 59.0
I [2024-08-05 18:33:54] basilisk:714 2.9
I [2024-08-05 18:34:16] elemental:829 1.66
