Level Date Low_Temp High_Temp
I 1722895968 fairy:279 87.39
W 1722896075 fairy:778 28.85
E 1722896123 dragon:45 -38.56
W 1722896191 elemental:635 -84.95
W 1722896322 elemental:448 63.79
E 1722896410 dragon:848 -71.29
E 1722896566 fairy:332 -28.2
E 1722896687 elemental:937 8.68
W 1722896772 dragon:182 -20.16
E 1722896810 chimera:858 -65.78
W 1722897003 elemental:394 62.65
I 1722897018 basilisk:254 -49.93
W 1722897053 basilisk:90 -65.74
I 1722897442 dragon:258 -19.57
W 1722897515 dragon:315 98.28
W 1722897644 fairy:601 68.75
W 1722897667 basilisk:448 30.45
I 1722897679 chimera:734 56.1
W 1722897872 basilisk:165 49.26
W 1722897879 elemental:737 61.51
W 1722897967 fairy:609 -44.80
E 1722898086 chimera:782 -75.32
E 1722898125 elemental:822 -38.88
E 1722898217 chimera:657 -10.56
E 1722898233 basilisk:684 -61.51
I 1722898443 chimera:210 -74.57
W 1722898500 chimera:640 40.94
W 1722898515 fairy:87 32.2
I 1722898589 elemental:859 -3.0
W 1722898688 fairy:438 34.84
E 1722898701 fairy:164 -26.65
W 1722898718 fairy:66 -96.36
W 1722898831 fairy:827 9.25
E 1722898859 fairy:466 38.36
W 1722898933 basilisk:367 77.95
W 1722898957 fairy:657 -8.45
W 1722899016 elemental:505 -44.36
I 1722899071 basilisk:918 -31.69
E 1722899090 chimera:201 -84.62
W 1722899247 fairy:512 6.1
E 1722899250 chimera:353 -19.1
W 1722899253 fairy:287 36.39
I 1722899365 basilisk:845 47.13
E 1722899410 basilisk:963 -55.33
W 1722899479 dragon:646 40.99
W 1722899556 elemental:137 -26.6
W 1722899614 basilisk:824 -33.41
I 1722899663 basilisk:140 -72.98
E 1722899701 basilisk:219 76.61
E 1722899732 basilisk:341 24.74
W 1722899780 fairy:293 45.83
I 1722899848 basilisk:18 -3.61
E 1722900023 fairy:334 -58.20
E 1722900194 dragon:699 -5.62
E 1722900204 dragon:202 -40.36
E 1722900430 chimera:9 10.77
I 1722900468 basilisk:924 12.5
W 1722900478 chimera:74 -31.85
W 1722900679 basilisk:573 -63.5
E 1722900746 elemental:479 44.38
E 1722900832 chimera:346 100.16
I 1722900901 elemental:58 75.73
E 1722900981 dragon:669 -100.58
W 1722901358 dragon:5 -53.51
E 1722901426 elemental:576 -93.96
E 1722901460 fairy:474 9.19
I 1722901475 basilisk:963 -99.32
I 1722901532 basilisk:474 67.78
E 1722901586 elemental:758 -95.42
I 1722901612 chimera:473 34.42
I 1722901753 elemental:607 88.82
I 1722901763 basilisk:794 -69.65
I 1722901838 dragon:339 20.89
W 1722901852 chimera:791 35.55
W 1722901977 fairy:678 -6.46
I 1722902015 dragon:582 -5.47
I 1722902260 chimera:942 73.60
W 1722902282 dragon:212 60.25
I 1722902299 basilisk:553 6.11
I 1722902391 basilisk:107 -50.62
E 1722902461 basilisk:346 20.97
I 1722902603 dragon:498 -96.67
I 1722902616 elemental:201 10.5
W 1722902768 fairy:919 -24.77
W 1722902784 fairy:698 -55.64
W 1722902849 chimera:197 44.99
E 1722902926 dragon:234 1.14
I 1722902942 dragon:688 20.30
I 1722903019 chimera:393 77.31
E 1722903026 dragon:898 97.82
I 1722903064 elemental:183 -11.60
E 1722903099 fairy:953 18.69
W 1722903183 fairy:768 -73.2
E 1722903186 chimera:763 -81.46
W 1722903201 elemental:250 -100.59
I 1722903282 basilisk:245 39.41
E 1722903287 elemental:89 36.63
I 1722903322 basilisk:597 72.22
I 1722903481 fairy:396 94.25
W 1722903490 chimera:125 31.74
W 1722903688 dragon:24 -35.67
I 1722903770 fairy:580 25.11
W 1722903793 chimera:889 61.32
I 1722903815 chimera:569 -69.48
W 1722904011 elemental:378 -62.11
E 1722904015 chimera:795 38.77
E 1722904408 basilisk:145 59.0
I 1722904434 basilisk:714 2.9
I 1722904456 elemental:829 1.66
E 1722904504 dragon:538 84.71
E 1722904552 chimera:888 2.93
W 1722904600 chimera:277 -39.59
W 1722904848 fairy:276 97.41
I 1722904925 elemental:903 21.39
E 1722904990 elemental:654 -40.6
W 1722905178 basilisk:779 93.53
I 1722905180 basilisk:610 57.78
I 1722905200 basilisk:618 28.71
E 1722905412 elemental:707 -79.22
E 1722905428 chimera:843 -27.99
I 1722905469 basilisk:982 -47.30
W 1722905474 chimera:70 75.10
I 1722905777 fairy:929 -51.65
E 1722905788 elemental:454 -97.28
W 1722905919 dragon:964 -23.59
I 1722906050 basilisk:261 27.76
E 1722906309 basilisk:708 77.55
W 1722906399 elemental:440 -15.32
W 1722906447 elemental:405 73.37
W 1722906448 dragon:520 -12.82
I 1722906463 dragon:4 27.5
I 1722906572 chimera:933 -91.44
W 1722906617 dragon:236 -44.33
E 1722906677 elemental:122 62.31
E 1722906823 basilisk:11 76.82
I 1722906868 dragon:5 -66.53
E 1722906881 elemental:195 -88.71
W 1722907025 dragon:680 -4.5
E 1722907029 chimera:333 -50.76
E 1722907205 fairy:77 -88.16
I 1722907287 elemental:718 100.82
W 1722907305 chimera:832 -24.50
W 1722907413 fairy:790 66.1
E 1722907418 chimera:895 -4.0
W 1722907725 basilisk:190 42.60
I 1722907965 fairy:430 -94.79
I 1722908273 elemental:773 -57.96
I 1722908284 basilisk:314 -79.21
I 1722908373 elemental:676 45.25
W 1722908462 chimera:795 70.16
W 1722908539 dragon:366 -18.77
I 1722908593 fairy:548 -89.82
E 1722908663 chimera:941 -28.49
I 1722908708 dragon:812 -49.44
E 1722908731 dragon:781 83.7
I 1722908798 fairy:724 83.19
W 1722908855 elemental:958 -83.4
W 1722908906 chimera:341 83.84
E 1722909187 basilisk:863 -66.40
E 1722909497 elemental:754 -45.86
I 1722909569 elemental:557 80.7
W 1722909589 elemental:606 13.86
I 1722909661 elemental:943 74.87
I 1722909798 chimera:679 94.96
I 1722909820 chimera:144 -81.19
W 1722909887 dragon:384 -25.39
I 1722909970 elemental:109 10.77
W 1722910033 elemental:937 -23.35
I 1722910277 dragon:689 14.66
E 1722910338 chimera:941 -70.78
I 1722910411 dragon:888 -75.84
E 1722910610 fairy:434 -77.52
I 1722910622 fairy:860 -59.4
I 1722910668 chimera:666 -67.45
W 1722910779 basilisk:306 28.20
E 1722911038 chimera:182 -57.44
I 1722911043 dragon:541 -20.60
W 1722911149 basilisk:669 -26.26
W 1722911190 fairy:115 6.31
I 1722911360 chimera:507 -17.63
W 1722911372 dragon:720 62.48
I 1722911395 dragon:383 33.0
I 1722911483 dragon:396 24.38
I 1722911507 chimera:286 -20.22
I 1722911795 fairy:314 72.44
W 1722911801 fairy:593 52.11
E 1722911901 fairy:440 -91.7
E 1722911945 dragon:367 94.49
W 1722912194 chimera:943 -2.59
E 1722912364 dragon:596 9.39
W 1722912376 fairy:102 -33.25
W 1722912537 dragon:30 29.51
E 1722912601 basilisk:455 -58.17
E 1722912825 elemental:89 -57.4
E 1722912837 chimera:82 46.76
W 1722912959 basilisk:202 8.41
W 1722912986 basilisk:665 -64.96
I 1722913011 dragon:184 84.8
I 1722913098 elemental:186 -7.47
I 1722913103 basilisk:361 -16.38
I 1722913152 dragon:918 -98.23
W 1722913272 basilisk:488 94.26
E 1722913328 basilisk:388 27.29
W 1722913332 chimera:670 -78.67
W 1722913337 elemental:469 -17.70
W 1722913453 elemental:843 -45.40
W 1722913513 basilisk:830 77.56
I 1722913626 fairy:284 45.94
W 1722913786 chimera:480 38.85
W 1722913967 elemental:458 10.97
E 1722914048 fairy:163 89.59
I 1722914250 basilisk:850 96.13
W 1722914271 fairy:632 88.63
E 1722914341 dragon:129 -28.71
I 1722914404 elemental:837 -10.99
W 1722914530 basilisk:217 43.23
W 1722914587 elemental:60 -61.42
I 1722914601 chimera:988 12.12
I 1722914627 basilisk:601 27.91
E 1722914636 chimera:414 42.44
E 1722914756 dragon:239 9.28
E 1722914771 elemental:687 54.92
I 1722914857 fairy:62 51.73
I 1722914883 basilisk:658 65.85
E 1722914953 elemental:472 7.73
W 1722915077 basilisk:847 -20.93
I 1722915252 chimera:486 18.61
I 1722915511 dragon:685 85.45
E 1722915586 basilisk:226 94.86
E 1722915616 fairy:842 84.3
I 1722915698 fairy:626 25.96
E 1722915713 fairy:777 67.84
E 1722915897 basilisk:145 -36.68
W 1722915902 fairy:690 8.2
I 1722915919 elemental:684 58.14
I 1722915953 elemental:977 32.8
E 1722916006 chimera:542 94.92
I 1722916075 dragon:19 29.93
E 1722916098 basilisk:971 99.28
E 1722916156 dragon:214 -42.68
W 1722916156 elemental:381 -70.67
W 1722916271 fairy:438 54.96
E 1722916332 dragon:463 70.37
W 1722916554 fairy:914 -70.21
I 1722916574 chimera:942 -54.39
W 1722916830 elemental:675 -36.43
W 1722916924 basilisk:750 55.91
W 1722916936 elemental:210 -48.68
E 1722916945 chimera:763 55.69
E 1722917048 chimera:326 -68.85
E 1722917053 elemental:593 62.37
I 1722917125 dragon:606 -10.86
W 1722917152 elemental:163 -46.75
I 1722917457 dragon:670 -96.22
I 1722917495 fairy:65 -58.9
E 1722917539 basilisk:780 90.56
W 1722917651 basilisk:465 66.54
I 1722917718 dragon:130 -22.71
W 1722917728 chimera:44 69.74
W 1722917809 dragon:526 -90.53
W 1722917878 dragon:417 14.50
W 1722917936 elemental:970 -17.74
W 1722917939 chimera:56 30.61
I 1722918213 dragon:5 63.66
I 1722918221 fairy:981 -1.78
E 1722918332 basilisk:801 0.62
I 1722918361 elemental:158 -43.33
W 1722918473 fairy:418 91.47
W 1722918674 fairy:898 55.84
I 1722918730 chimera:777 -30.47
I 1722918812 fairy:233 -26.36
I 1722919268 dragon:60 -19.40
W 1722919414 chimera:976 -8.54
I 1722919452 chimera:104 25.35
E 1722919552 chimera:61 -9.8
I 1722919660 fairy:174 75.75
E 1722919787 chimera:708 21.85
I 1722919856 chimera:442 79.50
I 1722920098 dragon:584 81.78
E 1722920165 basilisk:218 88.26
W 1722920256 chimera:687 -9.95
I 1722920583 chimera:15 14.48
E 1722920604 basilisk:247 -58.24
W 1722920716 dragon:192 83.90
E 1722920776 basilisk:676 -54.95
E 1722920796 basilisk:914 -46.71
I 1722921194 chimera:992 97.28
I 1722921252 chimera:111 91.37
W 1722921280 elemental:148 95.18
W 1722921324 dragon:818 99.30
I 1722921325 fairy:276 -9.13
I 1722921447 chimera:132 -88.5
E 1722921490 elemental:389 43.49
I 1722921512 elemental:745 -84.49
E 1722921594 fairy:135 97.15
W 1722921860 fairy:227 -73.8
E 1722921971 fairy:71 -61.8
W 1722922056 dragon:859 -12.37
W 1722922104 dragon:427 77.38
I 1722922120 dragon:9 87.58
E 1722922159 elemental:309 -95.96
I 1722922216 elemental:228 -62.34
E 1722922247 fairy:460 -23.26
I 1722922587 dragon:655 -71.7
I 1722922637 basilisk:7 6.62
I 1722922686 fairy:257 17.72
E 1722922925 fairy:786 -38.32
W 1722922930 dragon:518 -54.62
I 1722923116 elemental:202 40.73
E 1722923260 elemental:660 11.33
I 1722923354 elemental:957 16.62
E 1722923421 elemental:268 88.41
E 1722923465 basilisk:59 27.11
W 1722923534 basilisk:464 -64.20
W 1722923680 elemental:608 -44.88
E 1722923699 basilisk:256 -18.10
W 1722923735 chimera:481 -17.43
I 1722923789 dragon:672 39.66
E 1722923870 fairy:895 24.92
W 1722923891 chimera:606 73.74
W 1722923901 chimera:822 52.86
I 1722923967 chimera:315 37.9
W 1722924069 fairy:30 22.53
I 1722924105 basilisk:282 -31.2
I 1722924323 elemental:427 63.63
W 1722924393 elemental:369 -22.65
E 1722924403 basilisk:999 0.74
W 1722924432 fairy:515 -3.13
I 1722924447 chimera:538 60.21
W 1722924450 dragon:498 -41.85
W 1722924723 basilisk:946 58.56
I 1722924838 chimera:828 19.72
I 1722924908 basilisk:196 -20.37
I 1722924926 basilisk:541 -31.29
I 1722925004 chimera:969 -7.65
I 1722925052 dragon:987 -44.90
I 1722925302 elemental:96 -5.57
I 1722925368 chimera:863 89.76
I 1722925405 dragon:346 60.10
I 1722925416 dragon:190 28.7
I 1722925442 fairy:457 -94.90
W 1722925465 dragon:194 29.88
I 1722925600 basilisk:467 -55.28
E 1722925622 fairy:360 15.0
I 1722925631 fairy:307 35.34
I 1722925874 dragon:583 -55.69
E 1722925973 basilisk:951 91.67
I 1722925977 fairy:119 -88.19
E 1722926143 basilisk:213 -85.54
W 1722926268 dragon:43 -6.99
I 1722926327 elemental:686 -13.42
W 1722926384 elemental:933 -58.3
E 1722926408 fairy:378 -40.18
I 1722926514 elemental:596 -70.58
I 1722926737 chimera:570 -78.38
E 1722926749 fairy:999 54.5
W 1722926756 fairy:69 46.26
E 1722927139 fairy:923 -95.73
E 1722927267 basilisk:224 80.30
E 1722927576 basilisk:647 95.62
I 1722927609 fairy:360 39.24
W 1722927628 elemental:57 -2.89
E 1722927673 fairy:580 -39.37
I 1722927704 fairy:159 -11.67
W 1722927713 fairy:653 58.84
E 1722927902 chimera:34 85.63
E 1722927929 chimera:187 48.5
W 1722928038 elemental:851 -95.23
I 1722928121 basilisk:345 -46.14
E 1722928560 basilisk:167 30.99
W 1722928592 fairy:310 88.52
I 1722928599 basilisk:882 -4.33
I 1722928688 basilisk:765 52.25
E 1722928729 chimera:955 57.42
E 1722928742 basilisk:675 -68.27
I 1722928800 chimera:93 -27.84
I 1722928880 fairy:302 33.80
E 1722929084 fairy:1 -22.78
I 1722929109 dragon:263 -84.60
W 1722929120 basilisk:528 34.8
I 1722929298 elemental:962 34.31
E 1722929333 elemental:148 14.19
I 1722929368 dragon:269 8.84
W 1722929390 chimera:667 56.11
W 1722929430 basilisk:62 -78.98
I 1722929431 fairy:133 -18.13
E 1722929777 chimera:740 17.85
W 1722929862 elemental:788 -57.59
I 1722929885 elemental:663 -31.97
E 1722930104 dragon:917 90.39
I 1722930188 dragon:556 -87.17
E 1722930352 fairy:302 13.3
E 1722930373 chimera:300 -2.5
E 1722930525 chimera:950 64.89
I 1722930571 elemental:994 27.40
W 1722930720 chimera:776 -14.34
E 1722930751 fairy:898 -70.52
I 1722930910 dragon:348 16.50
W 1722931126 fairy:615 68.13
I 1722931142 basilisk:224 -71.89
E 1722931160 fairy:842 86.13
E 1722931474 chimera:268 46.23
W 1722931511 basilisk:64 90.59
I 1722931574 elemental:360 61.51
W 1722931645 dragon:159 35.59
I 1722931680 fairy:593 -35.19
I 1722931687 chimera:224 -85.9
W 1722931696 chimera:554 76.85
W 1722931906 elemental:276 -64.89
I 1722932127 chimera:616 -85.53
W 1722932168 elemental:152 63.21
I 1722932195 basilisk:365 21.69
W 1722932326 fairy:197 -50.39
E 1722932335 dragon:880 72.48
I 1722932526 fairy:550 34.57
I 1722932550 chimera:953 85.69
I 1722932657 fairy:413 -35.47
W 1722932682 chimera:584 -26.67
I 1722932707 basilisk:948 -6.23
I 1722932729 dragon:83 98.45
W 1722932777 elemental:318 -36.85
W 1722932807 fairy:567 -39.98
I 1722932900 chimera:40 -47.31
W 1722932921 elemental:106 -46.87
E 1722933045 fairy:92 76.28
W 1722933052 basilisk:641 9.52
I 1722933260 basilisk:165 40.32
W 1722933630 elemental:724 3.18
E 1722933844 chimera:846 20.65
E 1722933865 elemental:89 -5.68
